Région,Département,NB_VP_RECHARGEABLES_EL,Nombre de bornes,population,IAB,IPA
Nouvelle-Aquitaine,Corrèze,2563,561,239190,2.188841201716738,0.02345415778251599
Nouvelle-Aquitaine,Creuse,860,184,115995,2.13953488372093,0.015862752704857964
Nouvelle-Aquitaine,Deux-Sèvres,5922,676,374481,1.1415062478892266,0.018051650150474923
Nouvelle-Aquitaine,Dordogne,6331,700,412807,1.105670510187964,0.01695707679375592
Nouvelle-Aquitaine,Gironde,39187,3898,1636391,0.994717635950698,0.023820712775858583
Nouvelle-Aquitaine,Haute-Vienne,3713,672,372123,1.809857258281713,0.01805854515845567
Nouvelle-Aquitaine,Landes,8513,1206,418122,1.4166568777164337,0.02884325627448448
Nouvelle-Aquitaine,Lot-et-Garonne,5841,600,330844,1.027221366204417,0.01813543543180472
Nouvelle-Aquitaine,Pyrénées-Atlantiques,12594,1064,687240,0.8448467524217881,0.015482218729992432
Nouvelle-Aquitaine,Vienne,6522,802,439332,1.2296841459674945,0.0182549871168046
Occitanie,Ariège,1007,100,153913,0.9930486593843098,0.006497176976603665
Occitanie,Aude,4688,741,375217,1.5806313993174061,0.019748572159576993
Occitanie,Aveyron,3542,497,279554,1.4031620553359685,0.017778318321326113
Occitanie,Gard,14576,1277,751457,0.8760976948408343,0.016993653662152327
Occitanie,Gers,2835,265,191819,0.9347442680776014,0.01381510694978078
Occitanie,Haute-Garonne,36293,3558,1415757,0.9803543383021519,0.025131431453279056
Occitanie,Hautes-Pyrénées,2205,245,229788,1.1111111111111112,0.010662001497032047
Occitanie,Hérault,24892,2406,1188973,0.966575606620601,0.020235951531279515
Occitanie,Lot,1318,139,174670,1.054628224582701,0.007957863399553443
Occitanie,Lozère,757,163,76633,2.153236459709379,0.02127020996176582
Occitanie,Pyrénées-Orientales,8109,653,482765,0.8052780860771982,0.013526249831698653
Occitanie,Tarn,7128,1250,391066,1.7536475869809205,0.031963914019628406
Occitanie,Tarn-et-Garonne,3676,530,262316,1.441784548422198,0.020204638680065265
Pays de la Loire,Loire-Atlantique,29050,2887,1445171,0.9938037865748709,0.019976874708944478
Pays de la Loire,Maine-et-Loire,13688,1603,820713,1.1710987726475746,0.019531797351814824
Pays de la Loire,Mayenne,4775,461,306538,0.9654450261780104,0.015038918502763116
Pays de la Loire,Sarthe,3208,700,566993,2.1820448877805485,0.012345831430017653
Pays de la Loire,Vendée,12227,1085,691867,0.8873803876666394,0.01568220481682173
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,45266,3063,1097410,0.6766668139442407,0.027911172670196185
Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,3527,576,165451,1.6331159625744258,0.03481393282603308
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,58156,3695,2918391,0.6353600660293005,0.012661086194413293
Provence-Alpes-Côte d'Azur,Hautes-Alpes,2560,684,140605,2.671875,0.04864691867287792
Provence-Alpes-Côte d'Azur,Var,34957,2720,1085189,0.778098807105873,0.025064758304774563
Provence-Alpes-Côte d'Azur,Vaucluse,15360,1399,561941,0.9108072916666666,0.02489585205564285
Île-de-France,Essonne,36694,1957,1306118,0.5333296996784215,0.0149833322869756
Île-de-France,Hauts-de-Seine,102942,3137,1626213,0.304734704979503,0.019290215980317462
Île-de-France,Paris,87957,5798,4291812,0.6591857384858509,0.013509445427712116
Île-de-France,Seine-Saint-Denis,39404,2005,1655422,0.5088315907014516,0.01211171532092723
Île-de-France,Seine-et-Marne,31903,3515,1428636,1.1017772623264268,0.024603887904266725
Île-de-France,Val-d'Oise,30220,1697,1251804,0.5615486432825944,0.013556435352499273
Île-de-France,Val-de-Marne,29963,2052,1407972,0.6848446417247939,0.014574153463279099
Île-de-France,Yvelines,83760,2742,1449723,0.32736389684813755,0.0189139580457784
